arcs,build_source_hash,candidates_examined,capacity_mode,certification_seconds,command,complete_sequence,configuration,degenerate_pivots,direction_seconds,end_to_end_seconds,family,flow_augmentations,flow_solves,full_rebuilds,instance,instance_path,instance_sha256,local_rebuilds,macroitems,message,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,preprocessing_seconds,pricing_seconds,ratio_test_seconds,rebuilt_nodes,removed_arcs,replica,run_id,runner_seconds,status,total_seconds,update_seconds,verified
21972,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000667894,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_layered_levels8-density0.05_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/98e9f3a205ae813d/resolved_config.json', '--output', '<project>/experiments/runs/pilot/98e9f3a205ae813d/result.json']",False,dinkelbach,0,0.0,2.396752593,layered,961178,1529,0,gen_layered_levels8-density0.05_n2000_uniform_neg30_r0,data/generated/gen_layered_levels8-density0.05_n2000_uniform_neg30_r0.json,a8431ff0856f9b0b7110f257576ea40e8e79b644796d5171398c0b33c0844cc1,0,153,,2000,21082.71434169279,154,generated,26750976,0,0.002115861,0.0,0.0,0,0,0,98e9f3a205ae813d,2.4049846190027893,optimal,2.373577551,0.0,True
21972,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,443267590,"""instance""",0.0,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_layered_levels8-density0.05_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/6ba5cac589e10204/resolved_config.json', '--output', '<project>/experiments/runs/pilot/6ba5cac589e10204/result.json']",False,forest-reference,228951,0.709702694,30.014816856,layered,0,0,229404,gen_layered_levels8-density0.05_n2000_uniform_neg30_r0,data/generated/gen_layered_levels8-density0.05_n2000_uniform_neg30_r0.json,a8431ff0856f9b0b7110f257576ea40e8e79b644796d5171398c0b33c0844cc1,0,66,residual oracle did not certify optimality,2000,0.0,76,generated,26750976,229328,0.001644446,2.564431132,16.84072294,443498918,0,0,6ba5cac589e10204,30.022416412000894,time_limit,30.000167462,9.536911657,False
21972,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,230857339,"""instance""",0.0,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_layered_levels8-density0.05_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/32f8bb7dfe299606/resolved_config.json', '--output', '<project>/experiments/runs/pilot/32f8bb7dfe299606/result.json']",False,forest-tuned,585166,1.776535224,30.014032827,layered,0,0,2385,gen_layered_levels8-density0.05_n2000_uniform_neg30_r0,data/generated/gen_layered_levels8-density0.05_n2000_uniform_neg30_r0.json,a8431ff0856f9b0b7110f257576ea40e8e79b644796d5171398c0b33c0844cc1,583145,98,residual oracle did not certify optimality,2000,0.0,99,generated,26750976,585431,0.001564786,1.979000118,9.875210158,434309733,0,0,32f8bb7dfe299606,30.022004479993484,time_limit,30.00016904,15.304721965,False
21972,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.001134123,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_layered_levels8-density0.05_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/6517b8e868a6f24b/resolved_config.json', '--output', '<project>/experiments/runs/pilot/6517b8e868a6f24b/result.json']",False,parametric,0,0.0,0.088808531,layered,9247,307,0,gen_layered_levels8-density0.05_n2000_uniform_neg30_r0,data/generated/gen_layered_levels8-density0.05_n2000_uniform_neg30_r0.json,a8431ff0856f9b0b7110f257576ea40e8e79b644796d5171398c0b33c0844cc1,0,153,,2000,21082.71434169279,306,generated,26750976,0,0.002412014,0.0,0.0,0,0,0,6517b8e868a6f24b,0.10016675299266353,optimal,0.064982346,0.0,True
59964,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.0,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_sparse_degree3_n20000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/ec29351f34344699/resolved_config.json', '--output', '<project>/experiments/runs/pilot/ec29351f34344699/result.json']",False,dinkelbach,0,0.0,30.063591928,sparse,0,0,0,gen_sparse_degree3_n20000_uniform_neg30_r0,data/generated/gen_sparse_degree3_n20000_uniform_neg30_r0.json,ddbf6fbbbcad0c986a5872181b04ee88907a56ff9f49139bd3c3330812bb5ca5,0,0,time limit reached before a maximum flow,20000,0.0,42,generated,32116736,0,0.006483256,0.0,0.0,0,0,0,ec29351f34344699,30.074403794002137,time_limit,30.015453281,0.0,False
59964,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,461693984,"""instance""",0.0,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_sparse_degree3_n20000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/3ce8deb771c01924/resolved_config.json', '--output', '<project>/experiments/runs/pilot/3ce8deb771c01924/result.json']",False,forest-reference,23065,1.112191616,30.052326344,sparse,0,0,23088,gen_sparse_degree3_n20000_uniform_neg30_r0,data/generated/gen_sparse_degree3_n20000_uniform_neg30_r0.json,ddbf6fbbbcad0c986a5872181b04ee88907a56ff9f49139bd3c3330812bb5ca5,0,1,residual oracle did not certify optimality,20000,0.0,2,generated,29368320,23086,0.006458472,4.358786999,6.888362734,461737070,0,0,3ce8deb771c01924,30.06265818499378,time_limit,30.002208754,17.028123813,False
59964,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,14205544,"""instance""",0.0,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_sparse_degree3_n20000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/dfd3d93f723276aa/resolved_config.json', '--output', '<project>/experiments/runs/pilot/dfd3d93f723276aa/result.json']",False,forest-tuned,29108,2.355551258,30.048611673,sparse,0,0,124,gen_sparse_degree3_n20000_uniform_neg30_r0,data/generated/gen_sparse_degree3_n20000_uniform_neg30_r0.json,ddbf6fbbbcad0c986a5872181b04ee88907a56ff9f49139bd3c3330812bb5ca5,31545,0,residual oracle did not certify optimality,20000,0.0,1,generated,29495296,31668,0.005523784,0.193223223,1.762221994,345053934,0,0,dfd3d93f723276aa,30.058476007005083,time_limit,30.000666242,24.391205432,False
59964,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.003267781,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_sparse_degree3_n20000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/fcce45e08cdc18fd/resolved_config.json', '--output', '<project>/experiments/runs/pilot/fcce45e08cdc18fd/result.json']",False,parametric,0,0.0,3.291982549,sparse,147010,2301,0,gen_sparse_degree3_n20000_uniform_neg30_r0,data/generated/gen_sparse_degree3_n20000_uniform_neg30_r0.json,ddbf6fbbbcad0c986a5872181b04ee88907a56ff9f49139bd3c3330812bb5ca5,0,1150,,20000,233943.67182410424,2300,generated,35020800,0,0.005666319,0.0,0.0,0,0,0,fcce45e08cdc18fd,3.3134784779977053,optimal,3.236758085,0.0,True
5976,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000354615,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_sparse_degree3_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/fbaae1ee24b15f89/resolved_config.json', '--output', '<project>/experiments/runs/pilot/fbaae1ee24b15f89/result.json']",False,dinkelbach,0,0.0,0.679522611,sparse,392818,2348,0,gen_sparse_degree3_n2000_uniform_neg30_r0,data/generated/gen_sparse_degree3_n2000_uniform_neg30_r0.json,214504eb0a3c0949393dfc52c669f121f626a4633f0c7ebc3564b6133474ef1d,0,230,,2000,24468.069668820677,231,generated,26750976,0,0.00085534,0.0,0.0,0,0,0,fbaae1ee24b15f89,0.6859536849951837,optimal,0.671934158,0.0,True
5976,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,470588588,"""instance""",0.0,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_sparse_degree3_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/5544546ab69f5c0a/resolved_config.json', '--output', '<project>/experiments/runs/pilot/5544546ab69f5c0a/result.json']",False,forest-reference,235373,1.569707005,30.007789993,sparse,0,0,235413,gen_sparse_degree3_n2000_uniform_neg30_r0,data/generated/gen_sparse_degree3_n2000_uniform_neg30_r0.json,214504eb0a3c0949393dfc52c669f121f626a4633f0c7ebc3564b6133474ef1d,0,0,residual oracle did not certify optimality,2000,0.0,1,generated,26750976,235412,0.00089256,3.868113411,8.864932635,470826000,0,0,5544546ab69f5c0a,30.01472376799211,time_limit,30.000204372,15.142988479,False
